SEASON_YEAR,GAME_ID,GAME_DATE,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,HOME_AWAY,GOALS,ASSISTS,POINTS,PLUS_MINUS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,FACEOFF_WIN_PCTG,TOI,BLOCK_SHOTS,SHIFTS,TAKEAWAY,GIVEAWAY,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT
2021-2022,2021020001,2021-10-12,8479193,C. DeSmith,PIT,G,AWAY,0,0,0,0,0,0,0,0,0.0,00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,2021020001,2021-10-12,8482055,D. O'Connor,PIT,L,AWAY,0,1,1,1,0,0,0,2,0.0,09:13,2,14,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8470619,B. Boyle,PIT,C,AWAY,1,0,1,0,0,2,0,2,0.333333,09:21,2,16,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478043,S. Lafferty,PIT,C,AWAY,0,1,1,1,0,3,0,0,0.5,10:39,0,18,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478866,D. Simon,PIT,C,AWAY,1,0,1,2,0,1,0,4,1.0,12:46,0,18,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478017,M. Friedman,PIT,D,AWAY,0,0,0,0,0,2,0,2,0.0,14:07,2,19,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8477953,K. Kapanen,PIT,R,AWAY,0,0,0,0,0,1,0,1,0.0,14:23,0,18,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8476934,B. McGinn,PIT,L,AWAY,0,1,1,2,0,4,0,2,0.0,15:05,3,22,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8477244,C. Ruhwedel,PIT,D,AWAY,0,0,0,0,0,1,0,1,0.0,15:49,1,21,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8476927,T. Blueger,PIT,C,AWAY,1,0,1,2,0,0,0,3,0.333333,16:22,0,23,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8475722,J. Zucker,PIT,L,AWAY,0,0,0,0,0,1,0,4,0.0,16:30,1,18,1,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478542,E. Rodrigues,PIT,C,AWAY,1,0,1,1,0,2,0,3,0.636364,16:45,0,20,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478046,D. Heinen,PIT,L,AWAY,1,0,1,1,2,2,0,4,0.0,18:31,2,27,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8470604,J. Carter,PIT,C,AWAY,0,1,1,1,0,3,0,1,0.576923,19:37,0,27,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8477969,M. Pettersson,PIT,D,AWAY,0,0,0,2,0,2,0,0,0.0,19:37,1,24,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8475810,B. Rust,PIT,R,AWAY,1,0,1,1,0,0,0,3,0.0,20:21,0,27,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478507,J. Marino,PIT,D,AWAY,0,1,1,2,0,2,0,0,0.0,21:10,0,25,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8475208,B. Dumoulin,PIT,D,AWAY,0,0,0,2,0,1,0,2,0.0,22:28,0,28,1,1,,,,,,,
2021-2022,2021020001,2021-10-12,8471724,K. Letang,PIT,D,AWAY,0,2,2,2,0,1,0,1,0.0,25:16,1,29,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8477465,T. Jarry,PIT,G,AWAY,0,0,0,0,0,0,0,0,0.0,60:00,0,0,0,0,2.0,0.0,0.0,26.0,28.0,2.0,0.928571
2021-2022,2021020001,2021-10-12,8470880,B. Elliott,TBL,G,HOME,0,0,0,0,0,0,0,0,0.0,00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,2021020001,2021-10-12,8479390,T. Raddysh,TBL,R,HOME,0,0,0,-2,0,0,0,0,0.0,10:27,1,15,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478472,M. Joseph,TBL,R,HOME,0,0,0,0,0,2,0,0,0.0,10:41,0,15,1,0,,,,,,,
2021-2022,2021020001,2021-10-12,8479525,R. Colton,TBL,C,HOME,0,0,0,-1,0,3,0,2,0.75,11:20,1,17,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8470621,C. Perry,TBL,R,HOME,0,0,0,-2,0,2,0,0,0.0,12:40,1,19,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8474034,P. Maroon,TBL,L,HOME,0,0,0,-1,0,2,0,0,0.0,12:43,0,18,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8477930,P. Bellemare,TBL,L,HOME,0,0,0,-1,0,1,0,1,0.333333,12:49,0,16,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8474567,Z. Bogosian,TBL,D,HOME,0,0,0,-2,0,3,0,1,0.0,14:14,0,19,0,1,,,,,,,
2021-2022,2021020001,2021-10-12,8476292,O. Palat,TBL,L,HOME,0,0,0,-2,0,3,0,3,0.0,15:52,0,20,1,0,,,,,,,
2021-2022,2021020001,2021-10-12,8480172,J. Rutta,TBL,D,HOME,0,0,0,0,0,0,0,3,0.0,15:55,1,21,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8478519,A. Cirelli,TBL,C,HOME,1,1,2,0,0,3,0,2,0.666667,17:35,0,22,1,0,,,,,,,
2021-2022,2021020001,2021-10-12,8474564,S. Stamkos,TBL,C,HOME,0,2,2,-1,0,2,0,1,0.571429,17:56,0,24,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8473986,A. Killorn,TBL,L,HOME,1,0,1,1,0,2,0,3,0.0,19:16,1,21,2,0,,,,,,,
2021-2022,2021020001,2021-10-12,8476453,N. Kucherov,TBL,R,HOME,0,0,0,-1,0,1,0,0,0.0,19:53,1,23,0,1,,,,,,,
2021-2022,2021020001,2021-10-12,8478416,E. Cernak,TBL,D,HOME,0,0,0,-1,0,2,0,4,0.0,20:19,0,23,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8479410,M. Sergachev,TBL,D,HOME,0,0,0,-4,0,2,0,0,0.0,20:47,0,27,0,2,,,,,,,
2021-2022,2021020001,2021-10-12,8474151,R. McDonagh,TBL,D,HOME,0,0,0,-3,0,2,0,2,0.0,21:36,2,21,1,1,,,,,,,
2021-2022,2021020001,2021-10-12,8478010,B. Point,TBL,C,HOME,0,0,0,-1,0,1,0,3,0.368421,22:03,0,24,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8475167,V. Hedman,TBL,D,HOME,0,1,1,0,0,0,0,3,0.0,24:00,3,27,0,0,,,,,,,
2021-2022,2021020001,2021-10-12,8476883,A. Vasilevskiy,TBL,G,HOME,0,0,0,0,0,0,0,0,0.0,57:54,0,0,0,0,3.0,0.0,0.0,29.0,32.0,3.0,0.90625
2021-2022,2021020003,2021-10-13,8478470,S. Montembeault,MTL,G,AWAY,0,0,0,0,0,0,0,0,0.0,00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,2021020003,2021-10-13,8476975,C. Paquette,MTL,C,AWAY,0,0,0,0,0,1,0,0,0.0,07:43,0,13,1,0,,,,,,,
2021-2022,2021020003,2021-10-13,8473618,M. Perreault,MTL,C,AWAY,0,0,0,0,0,1,0,1,1.0,08:38,0,12,2,1,,,,,,,
2021-2022,2021020003,2021-10-13,8477476,A. Lehkonen,MTL,L,AWAY,0,0,0,0,0,0,0,1,0.0,08:43,0,14,0,1,,,,,,,
2021-2022,2021020003,2021-10-13,8475227,C. Wideman,MTL,D,AWAY,0,0,0,0,0,1,0,2,0.0,13:24,0,20,0,1,,,,,,,
2021-2022,2021020003,2021-10-13,8478133,J. Evans,MTL,C,AWAY,0,0,0,0,0,1,0,1,0.25,13:51,0,22,0,0,,,,,,,
2021-2022,2021020003,2021-10-13,8475848,B. Gallagher,MTL,R,AWAY,0,0,0,0,0,1,0,2,1.0,14:34,0,24,0,0,,,,,,,
2021-2022,2021020003,2021-10-13,8481014,A. Romanov,MTL,D,AWAY,0,0,0,0,2,1,0,0,0.0,14:36,0,19,1,0,,,,,,,
2021-2022,2021020003,2021-10-13,8476469,J. Armia,MTL,R,AWAY,0,0,0,0,0,4,0,3,0.0,15:55,0,22,1,3,,,,,,,
2021-2022,2021020003,2021-10-13,8477494,J. Drouin,MTL,L,AWAY,1,0,1,1,0,5,0,2,1.0,17:33,0,25,0,0,,,,,,,
2021-2022,2021020003,2021-10-13,8476967,B. Kulak,MTL,D,AWAY,0,1,1,0,0,1,0,1,0.0,17:43,1,22,0,1,,,,,,,
2021-2022,2021020003,2021-10-13,8481540,C. Caufield,MTL,R,AWAY,0,0,0,-1,0,0,0,4,0.0,17:58,0,26,0,1,,,,,,,
2021-2022,2021020003,2021-10-13,8476981,J. Anderson,MTL,R,AWAY,0,1,1,1,2,3,0,2,0.0,18:35,1,26,0,0,,,,,,,
2021-2022,2021020003,2021-10-13,8475726,T. Toffoli,MTL,C,AWAY,0,0,0,-1,0,3,0,3,0.0,19:25,1,27,1,0,,,,,,,
2021-2022,2021020003,2021-10-13,8475233,D. Savard,MTL,D,AWAY,0,0,0,0,0,1,0,0,0.0,19:30,5,26,0,0,,,,,,,
2021-2022,2021020003,2021-10-13,8477989,C. Dvorak,MTL,C,AWAY,0,0,0,1,0,3,0,3,0.535714,19:55,3,30,0,1,,,,,,,
2021-2022,2021020003,2021-10-13,8480018,N. Suzuki,MTL,C,AWAY,0,0,0,-1,0,2,0,4,0.411765,20:14,0,26,1,1,,,,,,,
2021-2022,2021020003,2021-10-13,8475279,B. Chiarot,MTL,D,AWAY,0,0,0,0,2,3,0,0,0.0,20:20,1,28,0,2,,,,,,,
